datetime,zone,pickup_count,temperature,precipitation,is_holiday,is_raining
2021-1-1 0:00,Airport,42,1.7,0,1,0
2021-1-1 0:00,Downtown,77,1.7,0,1,0
2021-1-1 0:00,Midtown,16,1.7,0,1,0
2021-1-1 0:00,Suburb,3,1.7,0,1,0
2021-1-1 0:00,Uptown,12,1.7,0,1,0
2021-1-1 1:00,Airport,52,-3.1,0,1,0
2021-1-1 1:00,Downtown,81,-3.1,0,1,0
2021-1-1 1:00,Midtown,19,-3.1,0,1,0
2021-1-1 1:00,Suburb,3,-3.1,0,1,0
2021-1-1 1:00,Uptown,10,-3.1,0,1,0
2021-1-1 2:00,Airport,50,-2.4,0,1,0
2021-1-1 2:00,Downtown,91,-2.4,0,1,0
2021-1-1 2:00,Midtown,17,-2.4,0,1,0
2021-1-1 2:00,Suburb,1,-2.4,0,1,0
2021-1-1 2:00,Uptown,19,-2.4,0,1,0
2021-1-1 3:00,Airport,38,-1.8,0,1,0
2021-1-1 3:00,Downtown,5,-1.8,0,1,0
2021-1-1 3:00,Midtown,7,-1.8,0,1,0
2021-1-1 3:00,Suburb,0,-1.8,0,1,0
2021-1-1 3:00,Uptown,3,-1.8,0,1,0
2021-1-1 4:00,Airport,33,-4.1,0,1,0
2021-1-1 4:00,Downtown,16,-4.1,0,1,0
2021-1-1 4:00,Midtown,9,-4.1,0,1,0
2021-1-1 4:00,Suburb,3,-4.1,0,1,0
2021-1-1 4:00,Uptown,6,-4.1,0,1,0
2021-1-1 5:00,Airport,36,-2.2,0,1,0
2021-1-1 5:00,Downtown,18,-2.2,0,1,0
2021-1-1 5:00,Midtown,23,-2.2,0,1,0
2021-1-1 5:00,Suburb,3,-2.2,0,1,0
2021-1-1 5:00,Uptown,5,-2.2,0,1,0
2021-1-1 6:00,Airport,48,-1.7,0,1,0
2021-1-1 6:00,Downtown,22,-1.7,0,1,0
2021-1-1 6:00,Midtown,32,-1.7,0,1,0
2021-1-1 6:00,Suburb,2,-1.7,0,1,0
2021-1-1 6:00,Uptown,13,-1.7,0,1,0
2021-1-1 7:00,Airport,67,-4.6,0,1,0
